question_text,label
When was the Rajarata University of Sri Lanka (RUSL) established?,answer
By which Gazette Notification was the university established?,answer
In which administrative district is the university located?,answer
What was the Faculty of Applied Sciences (FAS) initially called?,answer
Where was the CPAUC initially located?,answer
What is the distance between Polgolla and the main campus at Mihintale?,answer
When was the FAS inaugurated to commence its third-year Degree Programme?,answer
How many students were in the first batch of the FAS degree program?,answer
When did the first batch of students graduate?,answer
When was the first batch of students directly sent by the UGC enrolled?,answer
How long did the Faculty function at Polgolla before moving?,answer
When was the FAS finally established at the Mihintale campus?,answer
What are the five departments that make up the FAS?,answer
What subjects are offered by the Department of Biological Sciences?,answer
What disciplines are covered by the Department of Physical Sciences?,answer
What does the Department of Computing offer?,answer
In what medium are all courses offered at the FAS?,answer
Does the Faculty conduct English language training?,answer
What is the university's official website?,answer
What is the FAS official website?,answer
What is the FAS vision?,answer
What is the FAS mission?,answer
Who is the current Vice-Chancellor of RUSL?,answer
Who is the Dean of the Faculty of Applied Sciences?,answer
Who is the Dean of the Faculty of Agriculture?,answer
Who is the Dean of the Faculty of Management Studies?,answer
Who is the Dean of the Faculty of Medicine & Allied Sciences?,answer
Who is the Dean of the Faculty of Social Sciences & Humanities?,answer
Who is the Dean of the Faculty of Technology?,answer
Who is the university Librarian?,answer
Who is the Registrar?,answer
Who is the Bursar?,answer
Who is the Head of the Department of Biological Sciences?,answer
Who is the Head of the Department of Physical Sciences?,answer
Who is the Head of the Department of Health Promotion?,answer
Who is the Head of the Department of Computing?,answer
Who is the Head of the Department of Chemical Sciences?,answer
Who is the Assistant Registrar of the Faculty?,answer
Who is the Assistant Librarian?,answer
Who is the Assistant Bursar?,answer
Who is the FAS Senior Student Counsellor?,answer
What is the primary role of Student Counsellors?,answer
Are counselling services confidential?,answer
When can mentors be contacted?,answer
How is a Mentor defined?,answer
When are students assigned to a mentor group?,answer
Who is the academic advisor for Biological Sciences?,answer
Who is the academic advisor for Computing?,answer
Who is the academic advisor for Chemical Sciences?,answer
Who is the academic advisor for Physical Sciences?,answer
What does SRC stand for?,answer
Who chairs the SRC meetings?,answer
Who convenes the SRC meetings?,answer
How should students submit requests to the SRC?,answer
Whose consent is mandatory for academic requests to the SRC?,answer
"Whose consent is required for ""other"" (non-academic) SRC requests?",answer
What is the focus of Career Guidance services?,answer
Who is the FAS coordinator of the Career Guidance Unit (CGU)?,answer
What is the University Student Charter?,answer
Does the charter explain disciplinary procedures?,answer
Is ragging a criminal offence?,answer
What is the maximum punishment for committing ragging?,answer
What is the punishment for ragging that causes sexual harassment?,answer
What is criminal intimidation punishment?,answer
What is the punishment for hostage taking?,answer
What is the punishment for wrongful restraint?,answer
What is the punishment for unlawful confinement?,answer
What is the penalty for forcible occupation of university premises?,answer
What is the punishment for causing mischief to university property?,answer
Can a convicted student be expelled?,answer
Who can grant bail for sexual harassment or hostage-taking?,answer
How can students report ragging to the UGC?,answer
What is the UGC complaint portal link?,answer
Is plagiarism allowed?,answer
Is alcohol consumption allowed on campus?,answer
Are drugs and tobacco permitted?,answer
Is gambling allowed?,answer
How is sexual harassment defined?,answer
What happens if a student vandalizes classroom furniture?,answer
Do students have unrestricted access to the library during working hours?,answer
Do students need permission to visit other universities?,answer
How do students prove their studentship?,answer
To whom can a student appeal a disciplinary decision?,answer
What is the Learning Management System (LMS)?,answer
What does the EIS allow students to do?,answer
Does course registration automatically enroll a student for exams?,answer
When is the Add-Drop period for courses?,answer
Can a student drop a compulsory course?,answer
What happens if a student fails to register within the Add-Drop period?,answer
Where is the main university library located?,answer
What is OPAC?,answer
What is the Reference Assistance Service (RAS)?,answer
Can students retrieve items from other libraries?,answer
What is the role of the DELT?,answer
How long is the intensive English course for first-year students?,answer
What is the min grade required in the English for Science foundation course?,answer
When is the ongoing course in English conducted?,answer
What is IDC 2201?,answer
What services does CITS provide?,answer
What are the operating hours of CITS?,answer
Where is the University Career Guidance Unit (UCGU) located?,answer
Where are the nearest bank branches?,answer
What are the operating hours of the faculty canteen?,answer
"What are the operating hours of the ""Milk Bar""?",answer
Who is eligible for hostel facilities?,answer
Is medical care free for students?,answer
What are the operating hours of the Medical Centre?,answer
To which hospitals are emergency medical cases referred?,answer
What is the purpose of the Cultural Centre?,answer
Who manages university admissions?,answer
How long is a standard BSc degree program?,answer
How long is a BSc Honours degree program?,answer
What is the duration of a standard semester?,answer
What is the minimum number of credits for a 3-year BSc degree?,answer
What is the minimum number of credits for a BSc Honours degree?,answer
How many notional hours equal one credit for a taught course?,answer
How many notional hours equal one credit for industrial training?,answer
What is the maximum number of credits a student can attain per semester?,answer
What is the maximum number of credits a student can attain in an academic year?,answer
What is the course code meaning for CHE 1201?,answer
What is a Prerequisite (PR)?,answer
What is a Corequisite (CR)?,answer
What grade is required for Foundation (FDN) courses?,answer
Is Introduction to Computers (FDN 1202) compulsory for IT students?,answer
Is General Biology (FDN 1203) compulsory for everyone?,answer
Who must take Basic Mathematics (FDN 1204)?,answer
Which IDCs are compulsory?,answer
Is Career Development (IDC 1202) used for GPA?,answer
How many credits must be from a particular subject to claim it in a degree?,answer
What are the methods of course assessment?,answer
What is the attendance requirement for exams?,answer
What happens if a student misses a final exam without consent?,answer
What is the grade point value for A+ and A?,answer
"What is the grade point value for a ""C"" grade?",answer
"What is the grade point value for an ""E"" grade?",answer
How is GPA calculated?,answer
What constitutes an examination irregularity?,answer
What is the punishment for impersonation?,answer
What happens if a student is guilty of an irregularity a second time?,answer
What is the minimum GPA needed for BSc in Applied Sciences?,answer
What is the minimum GPA for a First Class in Applied Sciences?,answer
What is the minimum GPA for a Second Class (Upper Division)?,answer
What is the minimum requirement for Second Class (Lower Division)?,answer
Can a student apply for Honours with a GPA of 2.9?,answer
How many D grades are allowed for Honours application in Applied Sciences?,answer
Are extra-curricular activities considered for Honours selection?,answer
What is the marking weight for GPA in the Honours selection interview?,answer
What weight is given to Sports in the Honours interview?,answer
Is a research project mandatory for Honours students?,answer
Can a 4-year Honours student revert to a 3-year degree?,answer
What is the maximum time to complete a 4-year BSc Honours degree?,answer
What is the course code for Plant Diversity?,answer
What is the prerequisite for Vertebrate Diversity (ZOO 1302)?,answer
What is the prerequisite for Statistical Methods in Biology (BIO 1202)?,answer
What is the course title for BOT 2201?,answer
