question_text,label
How many weeks of research equal 1 credit?,answer
What subjects are studied in semester two?,clarify
Give me my subjects?,clarify
What courses are assigned this semester?,clarify
What courses are available for my batch?,clarify
Who is the Assistant Bursar?,answer
Show my subjects?,clarify
What modules are in semester one?,clarify
Can I suspend my studies temporarily?,escalate
What is the minimum GPA for a Second Class (Upper Division)?,answer
Is CHE 1105 a corequisite for CHE 1203?,answer
What courses are optional this year?,clarify
What is the title of HPT 1103?,answer
What courses are in year two?,clarify
Is IDC 3203 compulsory for Industrial Mathematics Honours?,answer
How do I change enrollment details?,escalate
Is MAT 4301 (Combinatorics) a 3-credit course?,answer
Is BIO 3201 compulsory for BDC specialization?,answer
List my subjects?,clarify
What courses are studied in semester two?,clarify
How do I rejoin after dropping out?,escalate
How do I reapply after withdrawal?,escalate
What is the title of HPT 4501?,answer
What is the penalty for forcible occupation of university premises?,answer
Who can grant bail for sexual harassment or hostage-taking?,answer
Who is the Registrar?,answer
What subjects are in semester one?,clarify
What modules are in year one?,clarify
What courses are in my degree?,clarify
Who is the Dean of the Faculty of Applied Sciences?,answer
How long is a standard BSc degree program?,answer
What modules are available for second semester?,clarify
How do I get official grade confirmation?,escalate
Is Mobile Computing (COM 4201) a 4th-year course?,answer
How do I escalate academic matter?,escalate
What is the prerequisite for Postharvest Technology (BOT 3203)?,answer
Can I postpone graduation?,escalate
What subjects are available now?,clarify
Is Probability Theory (STA 1304) a first-year course?,answer
What is ICT 3301?,answer
What is the title of PHY 4308?,answer
What modules are taken in this year?,clarify
How do I request approval to exceed credit limit?,escalate
When is the Add-Drop period for courses?,answer
How do I get official approval letter?,escalate
Is CHE 4210 a 2-credit course?,answer
Is STA 3401 a 4-credit course?,answer
How do I request late enrollment?,escalate
What is the UGC complaint portal link?,answer
How is a Mentor defined?,answer
Does BIO 1202 cover Normal distribution?,answer
Is Statistics a subject in Applied Sciences?,answer
What modules are studied in semester one?,clarify
What courses are part of semester two?,clarify
What is the course title for COM 2308?,answer
What is the title of PHY 4201?,answer
How do I request an official letter?,escalate
What modules are available for study?,clarify
What are the semester 1 courses?,clarify
What are the fourth year courses?,clarify
What courses are available this year?,clarify
What is the title of HPP 4802?,answer
What modules are open for registration?,clarify
Which courses are compulsory?,clarify
How do I request attendance correction?,escalate
What modules are taught this year?,clarify
How do I resume studies after interruption?,escalate
How do I contact examination division?,escalate
Is BIO 3206 compulsory for BDC specialization?,answer
How do I request manual result correction?,escalate
What is a Prerequisite (PR)?,answer
What is the credit rating for MAT 4310 (Industrial Training Program)?,answer
Tell me my courses?,clarify
How do I request exam script review?,escalate
What is the punishment for unlawful confinement?,answer
How do I apply for attendance waiver?,escalate
"What is a ""Grace Chance""?",answer
Show my modules?,clarify
How do I request exam center change?,escalate
Is Human Resource Management (IDC 3203) offered in 3rd year?,answer
Is E-Learning (ICT 4201) a 4th year course?,answer
What courses do I need to complete?,clarify
How do I apply for special consideration?,escalate
Who receives the Dr. Gamini Wickramasinghe Gold Medal?,answer
What modules are offered?,clarify
Give me my courses?,clarify
What is the abbreviation for Computer Science and Statistics?,answer
Is gambling allowed?,answer
What is the title of MAT 3201?,answer
What is CHE 1302?,answer
How do I get exam attendance certificate?,escalate
What is the prerequisite for FAM 3201?,answer
How do I file grievance against faculty?,escalate
Is FAM 4810 an 8-credit research project?,answer
Is PHY 4613 a 6-credit research project?,answer
What is the title of CHE 4308?,answer
Is HPT 1306 a 3-credit course?,answer
What modules do I need to complete?,clarify
What aesthetic abilities are marks given for in the Dean's Award?,answer
