question_text,answer_text
When was the Rajarata University of Sri Lanka (RUSL) established?,November 1995.
By which Gazette Notification was the university established?,No: 896/2 of 7th November 1995.
In which administrative district is the university located?,Anuradhapura.
What was the Faculty of Applied Sciences (FAS) initially called?,The Central Province Affiliated University College (CPAUC).
Where was the CPAUC initially located?,Polgolla.
What is the distance between Polgolla and the main campus at Mihintale?,140 km.
When was the FAS inaugurated to commence its third-year Degree Programme?,"January 10, 1997."
How many students were in the first batch of the FAS degree program?,102 students.
When did the first batch of students graduate?,1998.
When was the first batch of students directly sent by the UGC enrolled?,November 1997.
How long did the Faculty function at Polgolla before moving?,Nearly 10 years.
When was the FAS finally established at the Mihintale campus?,"January 16, 2006."
What are the five departments that make up the FAS?,"Biological Sciences, Physical Sciences, Health Promotion, Computing, and Chemical Sciences."
What subjects are offered by the Department of Biological Sciences?,"Botany, Zoology, and Biology."
What disciplines are covered by the Department of Physical Sciences?,"Physics, Pure Mathematics, Applied Mathematics, and Statistics."
What does the Department of Computing offer?,Computer Science and Information Technology.
In what medium are all courses offered at the FAS?,English.
Does the Faculty conduct English language training?,"Yes, it conducts an intensive course and an ongoing course."
What is the university's official website?,http://www.rjt.ac.lk/.
What is the FAS official website?,https://aps.rjt.ac.lk/.
What is the FAS vision?,"To be a dynamic, innovative, and renowned centre of excellence in learning, research, training, and consultancy."
What is the FAS mission?,"To promote learning, research, and training among all members to help individuals achieve their full potential."
Who is the current Vice-Chancellor of RUSL?,Prof. (Mrs.) G. A. S. Ginigaddara.
Who is the Dean of the Faculty of Applied Sciences?,Dr. W. M. S. Fernando.
Who is the Dean of the Faculty of Agriculture?,Prof. G.V.T.V. Weerasooriya.
Who is the Dean of the Faculty of Management Studies?,Prof. P.M.B. Jayathilake.
Who is the Dean of the Faculty of Medicine & Allied Sciences?,Dr. P. H. G. Janaka Pushpakumara.
Who is the Dean of the Faculty of Social Sciences & Humanities?,Prof. E. M. S. Ekanayake.
Who is the Dean of the Faculty of Technology?,Prof. T. C. Bhamunuarachchige.
Who is the university Librarian?,Mrs. A.S. Siriwardana.
Who is the Registrar?,Ms. S. C. Herath.
Who is the Bursar?,Mr. S. S. K. Godakumbura.
Who is the Head of the Department of Biological Sciences?,Dr. (Mrs) P.N. Yapa.
Who is the Head of the Department of Physical Sciences?,Mr. M. A. M. Mohammed.
Who is the Head of the Department of Health Promotion?,Dr. Lalith Senarathna.
Who is the Head of the Department of Computing?,Dr. K. A. S. H. Kulathilake.
Who is the Head of the Department of Chemical Sciences?,Prof. Ajith C. Herath.
Who is the Assistant Registrar of the Faculty?,Ms. V. Kirushnananthy.
Who is the Assistant Librarian?,Mrs. H. M. H. N. T. Wikramasooriya.
Who is the Assistant Bursar?,Ms. R. M. S. Rathnayake.
Who is the FAS Senior Student Counsellor?,Dr. Naleen B. Jayaratna.
What is the primary role of Student Counsellors?,"To resolve social, academic, personal, or emotional concerns."
Are counselling services confidential?,"Yes, they provide confidential and non-judgmental service."
When can mentors be contacted?,At the faculty on working days or via phone and email at any time.
How is a Mentor defined?,"A lecturer acting as a ""guardian"" and primary contact for academic or personal issues."
When are students assigned to a mentor group?,At the commencement of their academic life.
Who is the academic advisor for Biological Sciences?,Prof. (Mrs.) T. V. Sundarabarathy.
Who is the academic advisor for Computing?,Mr. P. S. Palliyaguruge.
Who is the academic advisor for Chemical Sciences?,Prof. E. M. R. B. Edirisinghe.
Who is the academic advisor for Physical Sciences?,Dr. Harshani Wijewardane.
What does SRC stand for?,Student Request Committee.
Who chairs the SRC meetings?,The Senior Student Counsellor.
Who convenes the SRC meetings?,The Assistant Registrar.
How should students submit requests to the SRC?,Via an online form on the faculty website.
Whose consent is mandatory for academic requests to the SRC?,The Lecturer in Charge and the Academic Advisor.
"Whose consent is required for ""other"" (non-academic) SRC requests?",The Head of the Department.
What is the focus of Career Guidance services?,"Counselling on career paths, industrial training, and life-long career development."
Who is the FAS coordinator of the Career Guidance Unit (CGU)?,Mrs. Amali Samaranayake.
What is the University Student Charter?,A guide stating the conditions of the contract between the university and its students.
Does the charter explain disciplinary procedures?,"Yes, it explains procedures initiated by the university, police, and courts."
Is ragging a criminal offence?,"Yes, under the Prohibition of Ragging Act No. 20 of 1998."
What is the maximum punishment for committing ragging?,Rigorous imprisonment for up to two years.
What is the punishment for ragging that causes sexual harassment?,Imprisonment for up to ten years.
What is criminal intimidation punishment?,Rigorous imprisonment for up to five years.
What is the punishment for hostage taking?,Rigorous imprisonment for up to seven years.
What is the punishment for wrongful restraint?,Rigorous imprisonment for up to seven years.
What is the punishment for unlawful confinement?,Imprisonment for up to seven years.
What is the penalty for forcible occupation of university premises?,"Imprisonment up to ten years or a fine of 10,000 rupees."
What is the punishment for causing mischief to university property?,Imprisonment for up to twenty years and a heavy fine.
Can a convicted student be expelled?,"Yes, the court may order expulsion."
Who can grant bail for sexual harassment or hostage-taking?,Only a High Court judge.
How can students report ragging to the UGC?,Via the online complaint portal.
What is the UGC complaint portal link?,https://eugc.ac.lk/complaint-portal/.
Is plagiarism allowed?,"No, it is a form of theft of intellectual property and is prohibited."
Is alcohol consumption allowed on campus?,"No, possession and consumption are strictly prohibited."
Are drugs and tobacco permitted?,"No, students are advised to refrain from bringing them into university premises."
Is gambling allowed?,"No, students caught gambling will be punished under prevailing law."
How is sexual harassment defined?,"Acts of a sexual nature that are degrading, humiliating, and unwelcome."
What happens if a student vandalizes classroom furniture?,The replacement cost and penalties will be charged to the student.
Do students have unrestricted access to the library during working hours?,Yes.
Do students need permission to visit other universities?,"Yes, they must seek permission from authorities of both universities."
How do students prove their studentship?,By means of the identity card issued by the university.
To whom can a student appeal a disciplinary decision?,The Vice Chancellor.
What is the Learning Management System (LMS)?,"A platform for online learning, course management, and assignment submission."
What does the EIS allow students to do?,Register for both the semester and courses.
Does course registration automatically enroll a student for exams?,Yes.
When is the Add-Drop period for courses?,The first two weeks after the semester begins.
Can a student drop a compulsory course?,"No, only optional courses may be dropped."
What happens if a student fails to register within the Add-Drop period?,They are not eligible to sit for corresponding examinations.
Where is the main university library located?,Within the Mihintale premises.
What is OPAC?,The Online Public Access Catalogue for searching library materials.
What is the Reference Assistance Service (RAS)?,A service to assist users in using the library effectively.
Can students retrieve items from other libraries?,"Yes, through interlibrary loans."
What is the role of the DELT?,Preparing undergraduates to function in an English-speaking work environment.
How long is the intensive English course for first-year students?,12-16 weeks.
What is the min grade required in the English for Science foundation course?,"At least a ""C"" grade."
When is the ongoing course in English conducted?,During the second semester of the 1st year.
What is IDC 2201?,"English for Professional Purposes, offered in the second year."
What services does CITS provide?,"Email, Zoom, computer repairs, internet access, and LMS oversight."
What are the operating hours of CITS?,Weekdays from 8:00 AM to 6:00 PM.
Where is the University Career Guidance Unit (UCGU) located?,On the main premises at Mihintale.
Where are the nearest bank branches?,At the university main entrance (Bank of Ceylon and People’s Bank).
What are the operating hours of the faculty canteen?,7:00 AM to 8:00 PM.
"What are the operating hours of the ""Milk Bar""?",7:30 AM to 5:00 PM.
Who is eligible for hostel facilities?,Undergraduates residing more than 40 km away from university premises.
Is medical care free for students?,"Yes, Western and Ayurvedic care are provided free of charge."
What are the operating hours of the Medical Centre?,08:00 AM - 12:00 Noon and 01:00 PM - 04:00 PM on weekdays.
To which hospitals are emergency medical cases referred?,Mihintale Hospital and Teaching Hospital Anuradhapura.
What is the purpose of the Cultural Centre?,To respect diversity and preserve cultural heritage.
Who manages university admissions?,The University Grants Commission (UGC).
How long is a standard BSc degree program?,Three years (six semesters).
How long is a BSc Honours degree program?,Four years (eight semesters).
What is the duration of a standard semester?,15 weeks.
What is the minimum number of credits for a 3-year BSc degree?,90 credits.
What is the minimum number of credits for a BSc Honours degree?,120 credits.
How many notional hours equal one credit for a taught course?,50 hours.
How many notional hours equal one credit for industrial training?,100 hours.
What is the maximum number of credits a student can attain per semester?,18 credits.
What is the maximum number of credits a student can attain in an academic year?,34 credits.
What is the course code meaning for CHE 1201?,"Chemistry, 1st year, 2 credits, serial number 01."
What is a Prerequisite (PR)?,A course that must be completed with at least a D grade before a more advanced course.
What is a Corequisite (CR)?,A course that must be taken simultaneously with another.
What grade is required for Foundation (FDN) courses?,"At least a ""C"" grade."
Is Introduction to Computers (FDN 1202) compulsory for IT students?,"No, they are exempted."
Is General Biology (FDN 1203) compulsory for everyone?,Only for Applied Sciences students who did not study Biology at A/L.
Who must take Basic Mathematics (FDN 1204)?,Applied Sciences students who did not study in the Physical Science Stream at A/L.
Which IDCs are compulsory?,"Philosophy of Science (IDC 1201), Career Development (IDC 1202), and Scientific Communication (IDC 4201)."
Is Career Development (IDC 1202) used for GPA?,"No, but it is compulsory to pass with a ""C""."
How many credits must be from a particular subject to claim it in a degree?,At least 24 credits.
What are the methods of course assessment?,Continuous assessments and end-semester examinations.
What is the attendance requirement for exams?,A minimum of 80% attendance.
What happens if a student misses a final exam without consent?,An E grade will be issued.
What is the grade point value for A+ and A?,4.0.
"What is the grade point value for a ""C"" grade?",2.0.
"What is the grade point value for an ""E"" grade?",0.0.
How is GPA calculated?,It is the credit-weighted arithmetic mean of grade point values.
What constitutes an examination irregularity?,"Possession of unauthorized documents, plagiarism, impersonation, or using cellular phones."
What is the punishment for impersonation?,Prohibition for 4-8 semesters and potential criminal charges.
What happens if a student is guilty of an irregularity a second time?,Cancellation of studentship.
What is the minimum GPA needed for BSc in Applied Sciences?,2.00.
What is the minimum GPA for a First Class in Applied Sciences?,3.70.
What is the minimum GPA for a Second Class (Upper Division)?,3.30.
What is the minimum requirement for Second Class (Lower Division)?,A GPA of 3.00.
Can a student apply for Honours with a GPA of 2.9?,"No, a minimum GPA of 3.00 for the first five semesters is required."
How many D grades are allowed for Honours application in Applied Sciences?,No more than 6 credits.
Are extra-curricular activities considered for Honours selection?,"Yes, as additional qualifications."
What is the marking weight for GPA in the Honours selection interview?,70%.
What weight is given to Sports in the Honours interview?,05%.
Is a research project mandatory for Honours students?,"Yes, during the fourth year."
Can a 4-year Honours student revert to a 3-year degree?,"Yes, if requirements are satisfied and approved."
What is the maximum time to complete a 4-year BSc Honours degree?,Eight academic years.
What is the course code for Plant Diversity?,BOT 1201.
What is the prerequisite for Vertebrate Diversity (ZOO 1302)?,ZOO 1201.
What is the prerequisite for Statistical Methods in Biology (BIO 1202)?,FDN 1204.
What is the course title for BOT 2201?,Plant Physiology.
Is Real Analysis II (MAT 2305) a prerequisite for Mathematical Statistics I?,Yes.
What is the prerequisite for Statistical Learning (STA 3401)?,Regression Analysis (STA 2304).
What is the specialization area for BDC courses?,Biodiversity Conservation.
Does the faculty offer Bursaries?,"Yes, university-called applications for needy students."
What is the Mahapola Scholarship?,A scholarship awarded by the Mahapola Trust Fund.
What are the criteria for the Hand in Hand Scholarship?,"Extreme poverty, good GPA, and good discipline."
Who receives the Dr. Charles Santiapillai Gold Medal?,The most outstanding student in Biodiversity Conservation.
Is there a gold medal for IT students?,"Yes, the Dr. Sena Yaddehige Gold Medal."
What is the requirement for the Health Promotion gold medal?,A First or Second Class Upper with a GPA of 3.50 or above.
Can a student apply for the Dean’s Award?,"Yes, if they meet academic and leadership criteria."
"What is a ""Grace Chance""?",An extra attempt after normal attempts lapse; only once per subject.
When must a student request a grace chance?,Before the eighth week of the semester.
What is the maximum rigorous imprisonment for criminal intimidation?,Five years.
Is wrongful restraint a punishable offence?,"Yes, up to seven years imprisonment."
Is bail allowed for hostage-taking suspects?,Only by a High Court judge.
Does the student handbook reserve the right to amend content?,Yes.
What is the course title for PHY 2103?,Electronics I.
Is General Physics (PHY 1201) a prerequisite for Thermodynamics?,Yes.
What is the credit rating for Graph Theory (MAT 3201)?,2 credits.
Is Introduction to Statistics (STA 1301) a 3-credit course?,Yes.
What is the duration of a 1-credit theory exam?,One to one and a half hours.
What is the duration of a 2-credit theory exam?,Two hours.
What grade corresponds to a 1.7 grade point?,C-.
What grade point is a D+?,1.3.
What is the minimum credits for BSc in Information Technology?,90 credits.
What is the minimum GPA for a First Class in IT?,3.70.
How many credits must be from Health Promotion for Honours eligibility?,70 credits within the first five semesters.
Can a student re-sit if they get an E grade?,"Yes, to improve it to a C."
What is the code for Foundation courses?,FDN.
What is the code for Interdisciplinary courses?,IDC.
Is General Biology (FDN 1203) zero-credited?,"Yes, it does not count for GPA."
What is IDC 1201?,Philosophy of Science.
Is Entrepreneurship Development offered in the 3rd year?,Yes.
What is the prerequisite for Molecular Biology (BIO 3201)?,BIO 2203.
What does MIB 3201 stand for?,Industrial Microbiology.
Is Analytical Chemistry (CHE 2103) a second-year course?,Yes.
What is CHE 3203?,Chemistry of Polymers.
What is the course title for COM 2308?,Software Engineering.
What is COM 3303?,Artificial Intelligence.
Is Quantum Mechanics (PHY 4210) an Honours course?,Yes.
What is PHY 2210?,Atmospheric Physics.
What is the prerequisite for Linear Algebra (MAT 2302)?,MAT 1207.
What is MAT 2306?,Operations Research I.
Is Probability Theory (STA 1304) a first-year course?,Yes.
What is the title of STA 2304?,Regression Analysis.
"Which department offers ""Working with Communities"" (HPT 2302)?",Health Promotion.
What is HPF 2102?,Introduction to Field Settings.
What is the course title for ICT 2204?,Web Technology.
Is Multimedia Technologies (ICT 2210) an IT course?,Yes.
What is ICT 3301?,Human Computer Interaction.
Is Scientific Communication compulsory for all 4th year students?,Yes.
What is the title of BIO 1201?,Cell Biology & Biochemistry.
What is the prerequisite for Applied Entomology (ZOO 3203)?,ZOO 1203.
Is Nanochemistry (CHE 4206) an Honours course?,Yes.
What is COM 1308?,Digital Logic Design.
What is MAT 3201?,Graph Theory.
Is Human Resource Management (IDC 3203) offered in 3rd year?,Yes.
What is the credit rating for Field Project (BIO 3207)?,2 credits.
What is CHE 1302?,Physical Chemistry I.
What is COM 1305?,Object Oriented Programming.
Is Mobile Computing (COM 4201) a 4th-year course?,Yes.
What is the course title for PHY 3211?,Medical Physics.
What is STA 2305?,Multivariate Methods.
Is E-Learning (ICT 4201) a 4th year course?,Yes.
What is the abbreviation for Biodiversity Conservation?,BDC.
What is the abbreviation for Fisheries and Aquaculture Management?,FAM.
What is the abbreviation for Microbiology?,MIB.
What is the first digit in a course code?,Year of study.
What is the second digit in a course code?,Credit rating.
What are the last two digits in a course code?,Serial number.
Is IDC 1202 a GPA course?,No.
What is the course title for BIO 1203?,General Microbiology.
What is the prerequisite for Invertebrate Diversity (ZOO 1201)?,A/L Biology.
What is the course title for BOT 1202?,Functional Plant Anatomy and Basic Wood Science.
What is the prerequisite for Animal Behaviour (ZOO 2203)?,ZOO 1302 and ZOO 2201.
What is the course title for BIO 2201?,Systematic Biology.
What is the prerequisite for Postharvest Technology (BOT 3203)?,BOT 2204.
What is the course title for BDC 3301?,Concepts of Biodiversity Conservation.
What is the prerequisite for Breeding Techniques (FAM 3202)?,FAM 3201.
What is the title of MIB 3204?,Food Microbiology.
What is the corequisite for CHE 1203?,CHE 1105.
What is the prerequisite for Introduction to Biochemistry (CHE 2104)?,1st year Chemistry.
What is the title of CHE 3209?,Natural Products Chemistry.
What is the prerequisite for Advanced Physical Chemistry I (CHE 4202)?,CHE 3207.
What is the title of CHE 4308?,Advanced Environmental Chemistry.
What is the title of COM 1201?,Principles of Programme Design.
What is the prerequisite for Systems Analysis and Design (COM 2301)?,COM 1302.
What is the title of COM 3306?,Operating Systems.
What is the prerequisite for Intelligent Systems (ICT 4302)?,COM 3303.
What is the title of PHY 1102?,Waves and Vibrations.
What is the prerequisite for Electromagnetism (PHY 2102)?,PHY 1203.
What is the title of PHY 3302?,Mathematical Methods for Physicists.
What is the title of MAT 1201?,Mathematical Methods I.
What is the title of MAT 1205?,Real Analysis I.
What is the title of MAT 2203?,Complex Calculus.
What is the title of MAT 3202?,Numerical Analysis II.
What is the title of STA 1301?,Introduction to Statistics.
What is the title of STA 2302?,Applied Nonparametric Statistics.
What is the title of STA 3401?,Statistical Learning.
What is the title of HPT 1103?,Concepts of Health.
What is the title of HPT 2302?,Working with Communities.
What is the title of HPT 3205?,Healthy Public Policy and Legislation.
What is the title of HPT 4204?,Reduction of Suicide.
What is the title of ICT 1201?,Fundamentals of Computer Systems.
What is the title of ICT 2305?,Computer Networks.
What is the title of ICT 3411?,Group Project.
What is the title of ICT 4306?,E-Commerce.
What is the title of FDN 1205?,Basic Science for Non-Science Students.
What is the title of IDC 1201?,Philosophy of Science.
What is the title of BIO 2302?,Principles of Ecology.
What is the title of BOT 2202?,Economic Botany.
What is the title of ZOO 2204?,Fish Biology.
What is the title of CHE 2205?,Inorganic Chemistry.
What is the title of COM 2307?,Data Structures and Algorithms.
What is the title of MAT 2302?,Linear Algebra.
What is the title of PHY 2204?,Physical Optics.
What is the title of STA 2301?,Theory of Statistics.
What is the title of IDC 3201?,Entrepreneurship Development.
What is the title of BIO 3201?,Molecular Biology.
What is the title of BOT 3201?,Plant Tissue Culture.
What is the title of ZOO 3201?,Medical Entomology.
What is the title of BDC 3301?,Concepts of Biodiversity Conservation.
What is the title of FAM 3201?,Fisheries and Aquaculture.
What is the title of MIB 3201?,Industrial Microbiology.
What is the title of CHE 3201?,Industrial Inorganic Materials.
What is the title of COM 3401?,Data Communication and Networking.
What is the title of MAT 3201?,Graph Theory.
What is the title of PHY 3207?,Energy Resources.
What is the title of STA 3303?,Independent Study.
What is the title of IDC 4201?,Scientific Communication.
What is the title of BDC 4201?,Environmental Policies and Management.
What is the title of FAM 4201?,Fishery Resources Management.
What is the title of MIB 4201?,Applied Mycology.
What is the title of CHE 4201?,Computational Chemistry.
What is the title of MAT 4301?,Combinatorics.
What is the title of PHY 4201?,Biophysics.
What is the title of HPT 4501?,Child Wellbeing and Development.
What is the title of ICT 4201?,Fundamentals of E-Learning.
What is the title of ICT 4609?,Individual Research Project.
How many credits equal a Field work rating?,45 hours.
How many weeks of industrial training equal 1 credit?,2 weeks.
How many weeks of research equal 1 credit?,2 weeks.
Is Mathematics a subject in Applied Sciences?,Yes.
Is Physics a subject in Applied Sciences?,Yes.
Is Statistics a subject in Applied Sciences?,Yes.
Is Chemistry a subject in Applied Sciences?,Yes.
Is Computer Science a subject in Applied Sciences?,Yes.
Who receives the Dr. Gamini Wickramasinghe Gold Medal?,The most outstanding student in Physical Sciences.
Who receives the Dr. Chamila Mannapperuma Memorial Gold Medal?,The most outstanding student in Microbiology.
Who receives the Dr. Shirani Nathaneal Memorial Gold Medal?,The most outstanding student in Fisheries and Aquaculture Management.
What aesthetic abilities are marks given for in the Dean's Award?,"Singing, dancing, drama, and writing."
What is the maximum mark for Community Service in the Dean's Award?,40 marks.
What is the maximum mark for Sports in the Dean's Award?,125 marks.
What is the maximum mark for Research in the Dean's Award?,50 marks.
Does winning a National aesthetic award give marks for the Dean's Award?,Yes.
Does authoring a paper in a peer-reviewed journal count for the Dean's Award?,Yes.
Is wrongful restraint a cognizable offence?,Yes.
Is ragging a cognizable offence?,Yes.
Is criminal intimidation a cognizable offence?,Yes.
Is unlawful confinement a cognizable offence?,Yes.
What is the abbreviation for Applied Sciences Chemistry?,ASC.
What is the abbreviation for Applied Sciences Physics?,ASP.
What is the abbreviation for Applied Sciences Computer Sciences?,ASCs.
What is the abbreviation for Applied Sciences Mathematics?,ASM.
Is PHY 4308 compulsory for the ASP Honours course?,Yes.
Is MAT 4301 compulsory for the ASM Honours course?,Yes.
Is CHE 4605 a research project course for ASC?,Yes.
Is COM 4604 a research project course for ASCs?,Yes.
Is MAT 4610 a research project course for ASM?,Yes.
Is PHY 4613 a research project course for ASP?,Yes.
Which subject combinations are eligible for Industrial Mathematics Honours?,"CCsM, CMP, CMS, CsMP, PMS, CsMS, CM, MP, CsM."
Is IDC 3203 compulsory for Industrial Mathematics Honours?,Yes.
What is the credit rating for MAT 4310 (Industrial Training Program)?,3 credits.
What is the credit rating for MAT 4609 (Research Project)?,6 credits.
Is PHY 3302 compulsory for Joint Major Physics?,Yes.
Is CHE 4605 a 6-credit research project?,Yes.
Is PHY 4613 a 6-credit research project?,Yes.
Is BIO 3201 compulsory for BDC specialization?,Yes.
Is BIO 3206 compulsory for BDC specialization?,Yes.
Is FAM 3201 compulsory for FAM specialization?,Yes.
Is MIB 3201 compulsory for MIB specialization?,Yes.
"Is BIO 4204 compulsory for BDC, FAM, and MIB specializations?",Yes.
Is BDC 4810 an 8-credit research project?,Yes.
